drug,protein1,protein2,protein3,protein4,protein5,protein6,protein6,protein8,protein9,protein10
DB00050,P23945,P16473,P22413,P14416,P35462,P14679,P11684,P11229,P20309,P08172
DB00152,P35354,P23219,P28222,P18825,P14416,P28223,P08913,P18089,P28335,P21917
DB00162,P05091,P51649,P30542,P34913,P29274,P35520,P16455,Q07343,P21817,P23416
DB00175,P01130,P20701,P05107,P28472,P08235,P35354,P23219,P35348,P04150,P11229
DB00176,Q01959,P23975,P28223,P08908,P09172,P35348,P08913,P35368,Q99250,Q12809
DB00177,P12821,P50052,P30411,Q9H244,P51681,P61073,P21462,P37231,P25116,Q09428
DB00178,Q9BYF1,P07550,P08588,P50052,P12883,P35354,P23219,P08235,P35348,P05106
DB00180,P08235,Q99835,O00244,P06401,P10275,Q9UHA3,Q09428,P04083,P35348,P08913
DB00181,P23975,P31645,Q01959,P41145,P20309,P11229,P08172,P35372,P41143,P28223
DB00182,P31645,P27338,P23975,P08913,P18825,P35462,P14416,P21728,P18089,P21397
DB00184,P02708,P27338,P11230,P46098,P08913,P37231,P18089,P35354,P21397,P23219
DB00185,P08172,P08912,P08173,P06276,P22303,P28222,P28223,P08908,P14416,P35462
DB00186,P23416,P48167,P18089,P08908,Q969V6,Q13258,O15143,P49356,Q02643,Q9UBS5
DB00187,P07550,P13945,Q13639,P12883,P50406,P08908,P35348,P08913,P16066,P29275
DB00188,P29218,P49720,P11388,P30531,P28072,Q99436,P28070,P12235,P28482,P27361
DB00191,P09172,Q05940,P30531,Q9Y345,P48067,P08913,P18825,P18089,P48029,P21964
DB00193,Q01959,P41146,P08173,P11229,P21917,P08172,P08912,P08908,O60391,P28223
DB00195,P13945,P12883,Q13639,P08908,P00797,P25021,P50406,P45452,P28222,P35368
DB00196,P11511,P23219,P35354,P37231,P09917,P28221,P28222,P30939,P14416,Q07869
DB00197,Q13285,Q03181,P03372,Q07869,P02760,Q03405,P41145,P35372,P41143,P05107
DB00198,P04818,P00374,P62942,P19835,P23945,P06276,P22303,O43451,P10253,P14410
DB00199,P06276,P22303,P35348,Q12809,P31645,P08172,P08588,P14867,P11229,P28223
DB00200,P63211,Q15181,P27707,P23921,Q9Y6I3,P49257,P09467,Q13085,P36888,O14582
DB00201,P27815,P29275,Q08499,O76074,P21589,P54750,P10745,P00352,P12271,P09455
DB00202,Q15822,P08912,P08173,P06276,P46098,P35348,P22303,Q01959,Q9Y5Y9,P14416
DB00203,P20333,P04350,P24386,P33402,Q9HCD5,Q14541,Q9Y233,Q9NRX3,P49368,P47989
DB00204,P07550,P08588,Q13936,O00180,P48048,P08172,P20309,P11229,P08173,Q14654
DB00205,P20309,P08172,P11229,P08173,P37088,P51170,P51172,P16070,P53985,P06276
DB00206,P07437,P25100,P36544,P14867,P42262,P48169,P34903,P43681,P35368,P08913
DB00207,O43451,P10253,P23219,P35354,Q08499,Q07343,P27815,P52209,P35348,P11229
DB00208,P23219,Q07343,P27815,Q08499,P16083,P08729,P37231,P30531,P35354,P12319
DB00210,P35354,P34972,P23219,P21554,P61586,P98160,P14324,Q9UIC8,P07098,O15530
DB00211,P25100,P07550,P08588,P13945,P25021,P27338,P21397,Q92569,O00459,P27986
DB00213,P35354,P23219,P37231,P09917,P28223,P28335,P08913,P08908,P35348,P28222
DB00215,Q01959,P23975,P20309,P08173,P11229,P08912,P09172,P08172,P08908,Q8TCU5
